CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	ZERO	ONE	TWO	THREE	FOUR	FIVE	FZ	FACE
2.23E-01	6.74E-03	7.56E-04	1.88E-04	-1.45E-06	1.37E-05	3.29E-06	18.34179413	0	0	0	0	0	1	0	0
2.23E-01	6.96E-03	4.89E-04	1.50E-04	-1.26E-06	1.21E-05	3.20E-06	18.52393039	0	0	0	0	0	1	0	0
2.23E-01	7.20E-03	6.71E-04	1.63E-04	1.28E-06	1.36E-05	6.81E-06	19.31082998	0	0	0	0	0	1	0	0
2.23E-01	7.34E-03	7.43E-04	1.84E-04	2.25E-06	1.53E-05	7.84E-06	18.84567177	0	0	0	0	0	1	0	0
2.24E-01	6.97E-03	8.23E-04	2.48E-04	4.33E-06	1.99E-05	9.70E-06	18.82688653	0	0	0	0	0	1	0	0
2.36E-01	9.30E-03	1.24E-03	3.67E-04	6.85E-06	3.15E-05	1.37E-05	18.30382049	0	0	0	0	0	1	0	0
2.38E-01	9.79E-03	1.03E-03	4.25E-04	6.29E-06	3.83E-05	1.35E-05	17.07813432	0	0	0	0	0	1	0	0
2.36E-01	8.77E-03	1.04E-03	4.83E-04	6.91E-06	4.19E-05	1.41E-05	15.78484869	0	0	0	0	0	1	0	0
2.31E-01	6.11E-03	1.32E-03	3.35E-04	9.49E-06	2.57E-05	1.57E-05	14.8282363	0	0	0	0	0	1	0	0
2.27E-01	6.54E-03	1.02E-03	2.49E-04	5.49E-06	1.98E-05	1.19E-05	14.42845197	0	0	0	0	0	1	0	0
2.24E-01	9.10E-03	3.21E-04	2.37E-04	-3.28E-07	2.18E-05	4.81E-06	13.56491182	0	0	0	0	0	1	0	0
2.29E-01	1.43E-02	2.96E-04	3.31E-04	2.19E-06	3.81E-05	3.94E-06	13.82386268	0	0	0	0	0	1	0	0
2.23E-01	1.22E-02	1.48E-04	2.61E-04	4.64E-07	2.85E-05	2.51E-06	13.46544528	0	0	0	0	0	1	0	0
2.31E-01	1.43E-02	1.73E-04	3.49E-04	5.68E-07	4.06E-05	2.61E-06	13.25885693	0	0	0	0	0	1	0	0
2.32E-01	1.17E-02	3.55E-04	2.68E-04	-1.09E-06	2.68E-05	1.80E-06	12.78951306	0	0	0	0	0	1	0	0
2.32E-01	1.14E-02	5.09E-04	2.44E-04	-1.32E-06	2.30E-05	2.73E-06	13.8017224	0	0	0	0	0	1	0	0
